"cost_scenario","method","base_front_size","scenario_front_size","Pareto_design_Jaccard_vs_base"
"base","TS",17,17,1
"base","SCAL",59,59,1
"base","EHVI",28,28,1
"base","EPI",27,27,1
"all_chain_costs_minus25pct","TS",17,17,1
"all_chain_costs_minus25pct","SCAL",59,59,1
"all_chain_costs_minus25pct","EHVI",28,28,1
"all_chain_costs_minus25pct","EPI",27,27,1
"all_chain_costs_plus25pct","TS",17,17,1
"all_chain_costs_plus25pct","SCAL",59,59,1
"all_chain_costs_plus25pct","EHVI",28,28,1
"all_chain_costs_plus25pct","EPI",27,27,1
"capture_low_JRC_40","TS",17,17,1
"capture_low_JRC_40","SCAL",59,59,1
"capture_low_JRC_40","EHVI",28,28,1
"capture_low_JRC_40","EPI",27,27,1
"capture_high_JRC_90","TS",17,17,1
"capture_high_JRC_90","SCAL",59,59,1
"capture_high_JRC_90","EHVI",28,28,1
"capture_high_JRC_90","EPI",27,27,1
"transport_low_JRC_2","TS",17,17,1
"transport_low_JRC_2","SCAL",59,59,1
"transport_low_JRC_2","EHVI",28,28,1
"transport_low_JRC_2","EPI",27,27,1
"transport_high_JRC_30","TS",17,17,1
"transport_high_JRC_30","SCAL",59,59,1
"transport_high_JRC_30","EHVI",28,28,1
"transport_high_JRC_30","EPI",27,27,1
"storage_low_JRC_5","TS",17,17,1
"storage_low_JRC_5","SCAL",59,59,1
"storage_low_JRC_5","EHVI",28,28,1
"storage_low_JRC_5","EPI",27,27,1
"storage_high_JRC_35","TS",17,17,1
"storage_high_JRC_35","SCAL",59,59,1
"storage_high_JRC_35","EHVI",28,28,1
"storage_high_JRC_35","EPI",27,27,1
