"cost_scenario","seed","method","final_hypervolume","final_IGD_plus","pareto_size","minimum_cost_eur","maximum_storage_m3yr","minimum_unretained_m3"
"base",1,"TS",0.58084935178065,0.0630340042729551,46,1166891650.23736,686520641.993336,0
"base",1,"SCAL",0.564951198580663,0.0683516993220564,48,1154208437.38237,752581342.547672,0
"base",1,"EHVI",0.546198993054544,0.0716999636469693,14,1151981104.74546,708449379.008347,0
"base",1,"EPI",0.643142852446114,0.0405320290972818,15,1153480658.03846,746156639.392763,0
"base",2,"TS",0.5632406169979,0.064461468935245,46,1151681117.12075,710722176.985894,0
"base",2,"SCAL",0.609649908472565,0.0458874128944785,35,1153699464.30795,781940501.422216,0
"base",2,"EHVI",0.58465916722922,0.0597765472649137,46,1154397821.13663,745218692.654919,0
"base",2,"EPI",0.633596670653869,0.0395242083034084,11,1154397821.13663,730113362.114074,0
"base",3,"TS",0.574274337807927,0.056818608002542,20,1153585727.37247,768819823.336136,0
"base",3,"SCAL",0.630579341378084,0.0319124533921022,25,1156688128.86301,833949418.666173,0
"base",3,"EHVI",0.627853909031785,0.0539482689670367,23,1151977211.40215,778442761.85845,0
"base",3,"EPI",0.587924900548248,0.0568064217999543,14,1156416461.13553,723179514.294899,0
"base",4,"TS",0.590680088510506,0.0585821433926008,27,1160444365.66344,712680498.078651,0
"base",4,"SCAL",0.687263909579833,0.0113642944265491,18,1153997530.92978,803412879.036328,0
"base",4,"EHVI",0.625340503821786,0.0347392622010078,29,1153765976.66186,817983513.908264,0
"base",4,"EPI",0.614191247572563,0.045589290127295,15,1154243761.4372,718170293.177989,0
"base",5,"TS",0.598279392071556,0.0489590976890641,14,1152202811.7876,765074456.51798,0
"base",5,"SCAL",0.640022701526467,0.0283087987671843,30,1155484810.1249,813502674.443543,0
"base",5,"EHVI",0.586631802468718,0.0563476488646628,33,1152305992.48954,748083777.399606,0
"base",5,"EPI",0.586107672799724,0.0548482956982173,14,1151540414.03109,783672554.765925,0
"base",6,"TS",0.578949937940012,0.0617472683961109,34,1159495571.79816,723619608.200371,0
"base",6,"SCAL",0.605421561477063,0.046297176225691,38,1157385178.86285,772796339.167385,0
"base",6,"EHVI",0.589047569662447,0.0575434222935371,20,1153928659.39426,732815260.93984,0
