"scenario","rate_mt","L_mid","L_top","f1","f2","f3"
1,0.8,1,1,201300978.704846,1750.99690860137,1151400000
3,0.8,1,1,529661917.384334,6652243.48598893,3454200000
1,0.81,1,1,203693390.129231,2.60770320892334e-08,1165792500
3,0.81,1,1,526235806.531779,7530258.09821755,3497377500
1,0.82,1,1,206265299.565052,19649.4437936544,1180185000
3,0.82,1,1,532664539.089842,7633081.62762924,3540555000
1,0.83,1,1,208723624.617701,7.45058059692383e-09,1194577500
3,0.83,1,1,539031750.64147,7735905.15704106,3583732500
1,0.84,1,1,211238330.500054,0,1208970000
3,0.84,1,1,545366067.299045,7838728.68645278,3626910000
1,0.85,1,1,213751176.745122,3.72529029846191e-09,1223362500
3,0.85,1,1,551509887.525321,7962970.15655436,3670087500
1,0.86,1,1,216159122.90809,10675.9719384722,1237755000
3,0.86,1,1,558054190.046329,8045676.03890733,3713265000
1,0.87,1,1,218673828.790443,10675.9719384648,1252147500
3,0.87,1,1,564059730.282179,8189831.80654131,3756442500
1,0.88,1,1,221187711.949032,10675.9719384536,1266540000
3,0.88,1,1,569235415.925113,8401331.988722,3799620000
1,0.89,1,1,223702417.831385,10675.9719384797,1280932500
3,0.89,1,1,575760840.2904,8486273.16519257,3842797500
1,0.9,1,1,226252390.864209,23145.9559673965,1295325000
3,0.9,1,1,582165184.414208,8571214.34166317,3885975000
1,0.91,1,1,228731475.574733,10675.9719384611,1309717500
3,0.91,1,1,588711750.18415,8656155.51813373,3929152500
1,0.92,1,1,231253013.32528,10675.9719384722,1324110000
3,0.92,1,1,595244052.061146,8741096.69460429,3972330000
1,0.93,1,1,233772560.749466,10675.9719384611,1338502500
3,0.93,1,1,601786638.346716,8826037.87107489,4015507500
1,0.94,1,1,236288994.365394,10675.9719384722,1352895000
3,0.94,1,1,608116213.899608,8928582.60593271,4058685000
1,0.95,1,1,238838161.457272,10675.9719384462,1367287500
3,0.95,1,1,614364525.799326,9040347.31181492,4101862500
1,0.96,1,1,241371032.498389,10675.971938476,1381680000
3,0.96,1,1,620861656.714159,9121040.05978478,4145040000
1,0.97,1,1,243885738.380742,10675.9719384685,1396072500
3,0.97,1,1,627108505.453654,9232804.76566723,4188217500
1,0.98,1,1,246400444.263095,10675.9719384573,1410465000
3,0.98,1,1,633373740.476879,9344569.4715495,4231395000
1,0.99,1,1,248903476.735421,10675.9719384611,1424857500
3,0.99,1,1,639709395.895349,9446733.4553806,4274572500
1,1,1,1,251429635.823783,10675.9719384648,1439250000
3,1,1,1,646402519.430624,9526244.03669144,4317750000
1,0.8,2,1,149562707.806126,7313211.51223892,1151400000
3,0.8,2,1,328485446.796098,33475772.8977537,3454200000
1,0.81,2,1,150621925.9532,7479107.57415387,1165792500
3,0.81,2,1,322544630.061191,34689081.6276293,3497377500
1,0.82,2,1,148570899.125864,8035860.97045429,1180185000
3,0.82,2,1,326458656.736901,35127199.2746881,3540555000
1,0.83,2,1,152985773.887048,7814401.69180093,1194577500
3,0.83,2,1,330311162.406175,35565316.9217469,3583732500
1,0.84,2,1,154167286.49209,7982048.75062446,1208970000
3,0.84,2,1,334130773.181398,36003434.5688057,3626910000
1,0.85,2,1,155393761.72316,8149695.80944796,1223362500
3,0.85,2,1,337759887.525321,36462970.1565544,3670087500
1,0.86,2,1,156457061.402808,8328018.84020997,1237755000
3,0.86,2,1,341789484.163976,36880970.1565545,3713265000
1,0.87,2,1,157638574.00785,8495665.89903348,1252147500
3,0.87,2,1,345280318.517474,37360420.0418354,3756442500
1,0.88,2,1,158819263.889127,8663312.95785702,1266540000
3,0.88,2,1,347941298.278054,37907214.3416631,3799620000
1,0.89,2,1,160000776.494169,8830960.01668055,1280932500
3,0.89,2,1,351952016.760988,38327449.6357808,3842797500
1,0.9,2,1,161217556.249683,9011077.05953302,1295325000
3,0.9,2,1,355841655.002443,38747684.9298984,3885975000
1,0.91,2,1,162363447.682896,9166254.1343276,1309717500
3,0.91,2,1,359873514.890033,39167920.224016,3929152500
1,0.92,2,1,163551792.156132,9333901.19315113,1324110000
3,0.92,2,1,363891110.884675,39588155.5181337,3972330000
1,0.93,2,1,164738146.303007,9501548.25197466,1338502500
3,0.93,2,1,367918991.287892,40008390.8122513,4015507500
1,0.94,2,1,165921386.641624,9669195.31079822,1352895000
