"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EHVI",1,"hypervolume",10,0.148194107707961,0.0789731317447598,0.0249734970269988,0.0917001325282158,0.204688082887706
"EHVI",2,"hypervolume",10,0.310942585364248,0.0855960164878892,0.0270678370739056,0.249710883846058,0.372174286882439
"EHVI",3,"hypervolume",10,0.347643570972827,0.0647193209591459,0.0204660462850374,0.30134615777497,0.393940984170684
"EHVI",4,"hypervolume",10,0.359389320994423,0.0654614646893856,0.0207007327389145,0.312561010153916,0.40621763183493
"EHVI",5,"hypervolume",10,0.37395895119262,0.0677115480771166,0.0214122715819683,0.32552102766169,0.42239687472355
"EHVI",6,"hypervolume",10,0.380325051003672,0.06423899797018,0.0203141548192702,0.334371240173068,0.426278861834276
"EHVI",7,"hypervolume",10,0.405566837606889,0.0657064754897948,0.0207782119569779,0.358563256598272,0.452570418615506
"EHVI",8,"hypervolume",10,0.408579994501784,0.06328870961357,0.0200136472551876,0.363305979009744,0.453854009993823
"EHVI",9,"hypervolume",10,0.41008216223933,0.0634964467554892,0.0200793395074955,0.364659540548192,0.455504783930468
"EHVI",10,"hypervolume",10,0.413561513327643,0.0644330687667499,0.0203755253937186,0.367468872612466,0.45965415404282
"EHVI",11,"hypervolume",10,0.419236140610343,0.0621837503128922,0.0196642284439947,0.37475256538486,0.463719715835826
"EHVI",12,"hypervolume",10,0.420808485757837,0.0624479241750552,0.0197477675542666,0.376135931935679,0.465481039579995
"EHVI",13,"hypervolume",10,0.454349553257062,0.0538490101480091,0.017028552181323,0.415828291967999,0.492870814546124
"EHVI",14,"hypervolume",10,0.463816709883956,0.0483395168181277,0.0152862974137299,0.429236702696823,0.498396717071088
"EHVI",15,"hypervolume",10,0.470860549712149,0.0547797055882429,0.0173228639212301,0.43167350901256,0.510047590411739
"EHVI",16,"hypervolume",10,0.47255377158136,0.0548022313333503,0.0173299871872833,0.433350616934446,0.511756926228274
"EHVI",17,"hypervolume",10,0.473286708694334,0.0548505477988428,0.0173452661952279,0.434048990530157,0.51252442685851
"EHVI",18,"hypervolume",10,0.48424811457879,0.0542138812243678,0.017143934546684,0.445465840245465,0.523030388912115
"EHVI",19,"hypervolume",10,0.490161314682554,0.0521990504256415,0.0165067891043009,0.45282036347546,0.527502265889647
"EHVI",20,"hypervolume",10,0.490370966573927,0.0521810876898145,0.0165011087884788,0.453042865133957,0.527699068013897
"EHVI",21,"hypervolume",10,0.500511472343052,0.0499361736336347,0.0157912046315932,0.464789285676482,0.536233659009623
"EHVI",22,"hypervolume",10,0.504619904060839,0.0488260683995571,0.0154401585333773,0.469691838839819,0.539547969281858
"EHVI",23,"hypervolume",10,0.513589742723991,0.0495072865785791,0.0156555786362995,0.478174363374136,0.549005122073847
"EHVI",24,"hypervolume",10,0.513978075623417,0.0489522148689217,0.0154800495495753,0.478959770654374,0.54899638059246
"EHVI",25,"hypervolume",10,0.514774419156446,0.0485676157321153,0.0153584286237311,0.480031239835948,0.549517598476944
"EHVI",26,"hypervolume",10,0.517708552752106,0.0453876066618924,0.0143528214595412,0.485240214881041,0.550176890623171
"EHVI",27,"hypervolume",10,0.519895869105201,0.044546487329727,0.014086836172177,0.488029231757146,0.551762506453256
"EHVI",28,"hypervolume",10,0.523202401839126,0.0439798970409445,0.0139076645909084,0.491741078767007,0.554663724911244
"EHVI",29,"hypervolume",10,0.524244340297371,0.043873138001925,0.0138739044184972,0.49285938804109,0.555629292553652
"EHVI",30,"hypervolume",10,0.524419356559133,0.0439313071502761,0.0138922991183313,0.492992792600864,0.555845920517401
"EHVI",31,"hypervolume",10,0.524818133964208,0.0438273718784789,0.0138594318995206,0.493465920820394,0.556170347108022
"EHVI",32,"hypervolume",10,0.526391790221602,0.0431408920902049,0.013642347929659,0.495530655135139,0.557252925308066
"EHVI",33,"hypervolume",10,0.526451111867854,0.0431522705096574,0.0136459461018232,0.495581837150456,0.557320386585252
"EHVI",34,"hypervolume",10,0.527792203835922,0.042143218788952,0.0133268559303891,0.497644761235412,0.557939646436431
"EHVI",35,"hypervolume",10,0.529992483158512,0.0422577899057647,0.0133630864987089,0.499763081318366,0.560221884998658
"EHVI",36,"hypervolume",10,0.533108953600565,0.041470484306127,0.0131141186077629,0.503442756258229,0.562775150942901
"EHVI",37,"hypervolume",10,0.536726988649212,0.0416032314455556,0.0131560969391095,0.506965829723937,0.566488147574486
"EHVI",38,"hypervolume",10,0.537797802853284,0.0421793487649282,0.0133382812319783,0.507624514424947,0.56797109128162
"EHVI",39,"hypervolume",10,0.53947145090944,0.0441433730880029,0.013959360256067,0.507893184118097,0.571049717700782
"EHVI",40,"hypervolume",10,0.546337675408251,0.0543938211668854,0.0172008365527235,0.507426679794386,0.585248671022115
"EHVI",41,"hypervolume",10,0.546361717086513,0.0543779154640617,0.0171958067278527,0.507462099727008,0.585261334446019
"EHVI",42,"hypervolume",10,0.551140774923446,0.0473304039206983,0.014967187896517,0.517282643616393,0.584998906230498
"EHVI",43,"hypervolume",10,0.551934342732336,0.0474972447849322,0.015019947610294,0.517956860660855,0.585911824803816
"EHVI",44,"hypervolume",10,0.553966674870786,0.048606209620135,0.0153706330827214,0.519195887145964,0.588737462595607
