"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EHVI",1,"IGD_plus",10,0.592537483187305,0.140821879666482,0.0445317884132235,0.491799579056117,0.693275387318492
"EHVI",2,"IGD_plus",10,0.318370806150171,0.144909572173787,0.0458244302829723,0.214708742954398,0.422032869345944
"EHVI",3,"IGD_plus",10,0.258799623202194,0.100525193153345,0.0317888572592934,0.186888232055914,0.330711014348475
"EHVI",4,"IGD_plus",10,0.244779280578203,0.103266397010904,0.0326557020313661,0.170906950321744,0.318651610834662
"EHVI",5,"IGD_plus",10,0.230236835803066,0.0951736133478901,0.0300965391327536,0.162153734228471,0.298319937377661
"EHVI",6,"IGD_plus",10,0.222049509896795,0.0752085685513667,0.0237830376183229,0.168248540995406,0.275850478798183
"EHVI",7,"IGD_plus",10,0.187899635952109,0.0678625661348204,0.0214600276849842,0.139353680610675,0.236445591293544
"EHVI",8,"IGD_plus",10,0.186909945993541,0.0677303815548474,0.0214182272505574,0.138458549804253,0.235361342182829
"EHVI",9,"IGD_plus",10,0.186909945993541,0.0677303815548474,0.0214182272505574,0.138458549804253,0.235361342182829
"EHVI",10,"IGD_plus",10,0.185318719032411,0.0685112558570893,0.0216651613866953,0.136308719018319,0.234328719046503
"EHVI",11,"IGD_plus",10,0.182033671240166,0.0683313994724676,0.0216082858039826,0.133152332732896,0.230915009747436
"EHVI",12,"IGD_plus",10,0.182001821707542,0.0683259889872011,0.0216065748583137,0.133124353628273,0.230879289786812
"EHVI",13,"IGD_plus",10,0.148290000373057,0.0425789069749196,0.0134646326321176,0.117830885219865,0.178749115526248
"EHVI",14,"IGD_plus",10,0.146011172814047,0.0440875816409399,0.0139417174513994,0.114472816819655,0.177549528808439
"EHVI",15,"IGD_plus",10,0.143950130148313,0.0448594652864379,0.0141858084922402,0.111859601857509,0.176040658439118
"EHVI",16,"IGD_plus",10,0.143950130148313,0.0448594652864379,0.0141858084922402,0.111859601857509,0.176040658439118
"EHVI",17,"IGD_plus",10,0.143950130148313,0.0448594652864379,0.0141858084922402,0.111859601857509,0.176040658439118
"EHVI",18,"IGD_plus",10,0.139623906171005,0.0459043206475042,0.0145162207688809,0.106785933381921,0.172461878960089
"EHVI",19,"IGD_plus",10,0.133834151817904,0.0426151682815075,0.0134760994640927,0.103349096888626,0.164319206747183
"EHVI",20,"IGD_plus",10,0.133664855349178,0.0425880595723513,0.0134675269375567,0.103199192822206,0.164130517876149
"EHVI",21,"IGD_plus",10,0.1323230689217,0.0432245053955393,0.0136687887784141,0.101402120479834,0.163244017363565
"EHVI",22,"IGD_plus",10,0.127660496272165,0.0386705215394652,0.0122286926371311,0.0999972716314209,0.155323720912908
"EHVI",23,"IGD_plus",10,0.117613697278436,0.0372877569101075,0.0117914240674622,0.0909396428646355,0.144287751692237
"EHVI",24,"IGD_plus",10,0.117613531365638,0.0372876423801214,0.0117913878499006,0.0909395588816538,0.144287503849622
"EHVI",25,"IGD_plus",10,0.117567979984351,0.0372564643199489,0.0117815284815835,0.0909163109410255,0.144219649027676
"EHVI",26,"IGD_plus",10,0.117006781777588,0.0369997745368295,0.0117003560449083,0.0905387375433092,0.143474826011866
"EHVI",27,"IGD_plus",10,0.115795762303277,0.0373157808466266,0.0118002860143026,0.0891016607729546,0.142489863833599
"EHVI",28,"IGD_plus",10,0.111570847228344,0.0366666944460868,0.011595026871908,0.0853410741372192,0.137800620319468
"EHVI",29,"IGD_plus",10,0.110445439409476,0.0371881794321624,0.011759934904066,0.083842618432202,0.137048260386749
"EHVI",30,"IGD_plus",10,0.110445439409476,0.0371881794321624,0.011759934904066,0.083842618432202,0.137048260386749
"EHVI",31,"IGD_plus",10,0.110244521715984,0.0373002770628074,0.0117953832873807,0.0835615109244855,0.136927532507482
"EHVI",32,"IGD_plus",10,0.109618548625061,0.0367403054051342,0.011618304701042,0.083336117426027,0.135900979824095
"EHVI",33,"IGD_plus",10,0.109618548625061,0.0367403054051342,0.011618304701042,0.083336117426027,0.135900979824095
"EHVI",34,"IGD_plus",10,0.109526059372749,0.0366675863156837,0.0115953089058382,0.0832956482765489,0.135756470468949
"EHVI",35,"IGD_plus",10,0.107030379489267,0.0363467728998417,0.0114938587960383,0.0810294644856178,0.133031294492916
"EHVI",36,"IGD_plus",10,0.105672545407163,0.0352955587090417,0.0111614356808764,0.0804236237345566,0.130921467079769
"EHVI",37,"IGD_plus",10,0.104492770786608,0.0359270544075696,0.0113611321548711,0.078792104304969,0.130193437268246
"EHVI",38,"IGD_plus",10,0.103701503249679,0.0364902398676672,0.0115392270347709,0.0775979581598172,0.129805048339541
"EHVI",39,"IGD_plus",10,0.102341219267409,0.037431179578992,0.0118367782976397,0.0755645664569487,0.129117872077869
"EHVI",40,"IGD_plus",10,0.0979721524519128,0.0426019366232952,0.0134719152463756,0.067496562880714,0.128447742023112
"EHVI",41,"IGD_plus",10,0.0979721524519128,0.0426019366232952,0.0134719152463756,0.067496562880714,0.128447742023112
"EHVI",42,"IGD_plus",10,0.0950398174181967,0.0384507744077386,0.0121592024925766,0.0675337904057008,0.122545844430693
"EHVI",43,"IGD_plus",10,0.094810151470576,0.0385438732393847,0.0121886429281268,0.0672375255659242,0.122382777375228
