"seed","method","evaluation","phase","scenario","rate_mt","L_mid","L_top","f1_retained_integral_m3yr","f2_unretained_final_m3","f3_total_cost_eur"
1,"TS",1,"initial",3,0.825111019192263,4,3,561262174.77002,7072177.12867077,3562623103.11739
1,"TS",2,"initial",1,0.853444133745506,4,3,196885328.79804,3019793.00308071,1228319469.49322
1,"TS",3,"initial",1,0.877222818508744,9,8,145657084.538724,13726744.2920856,1262542941.53871
1,"TS",4,"initial",3,0.802678066631779,7,6,290896872.820572,56149380.8394557,3465763222.19936
1,"TS",5,"initial",1,0.876477591414005,6,7,145956870.72542,12787296.7212846,1261470373.44261
1,"TS",6,"initial",1,0.973938169144094,9,6,135580789.247741,21467059.3851919,1401740509.94064
1,"TS",7,"initial",1,0.868069799337536,8,8,128310149.639014,18314312.1970976,1249369458.69655
1,"TS",8,"initial",1,0.896416023094207,9,7,149527037.246456,13476722.6370086,1290166761.23834
1,"TS",9,"initial",3,0.919913165085018,7,1,406399546.862913,35102270.4271606,3971955068.54583
1,"TS",10,"initial",1,0.898708261409774,8,4,154830339.818399,12985541.7940998,1293465865.23402
1,"TS",11,"initial",3,0.837243520282209,6,8,333138581.560532,49625835.2251541,3615008209.69851
1,"TS",12,"initial",1,0.965474663721398,7,9,185211186.193861,15115337.5279188,1389559409.76102
1,"TS",13,"initial",1,0.933693347638473,3,9,207209908.837052,10042114.0063296,1343818150.58867
1,"TS",14,"initial",3,0.958847972145304,6,7,325103869.312314,69142722.2915907,4140065831.73038
1,"TS",15,"initial",3,0.821588725177571,8,4,420959544.919409,27750973.5004692,3547414718.13546
1,"TS",16,"initial",1,0.944742189208046,2,7,160065373.954389,14094446.0472455,1359720195.81768
1,"TS",17,"initial",3,0.882254885928705,2,6,283332756.213075,62891331.3675459,3809356033.71867
1,"TS",18,"initial",3,0.964189258823171,6,1,418736118.144819,37262299.8294179,4163128172.28375
1,"TS",19,"initial",3,0.929412038763985,6,5,429090545.796507,27349177.7717371,4012968830.3732
1,"TS",20,"initial",3,0.956586552457884,1,6,545265811.62979,36879928.421046,4130301586.87503
1,"TS",21,"sequential",1,0.894970212737098,6,1,153254600.217974,9681410.5284306,1288085878.68187
1,"TS",22,"sequential",3,0.96026935740374,1,7,550321310.084352,37064601.1311872,4146203017.93
1,"TS",23,"sequential",1,0.967421477241442,3,3,243237315.745869,10675.971938476,1392361361.11975
1,"TS",24,"sequential",1,0.89285672926344,3,3,224420801.219691,10675.9719384685,1285044047.59241
1,"TS",25,"sequential",3,0.91414883681573,1,5,632183117.170102,0,3947066140.16112
1,"TS",26,"sequential",3,0.808479656232521,1,2,686520641.993336,0,3490813035.69797
1,"TS",27,"sequential",1,0.908359419135377,6,6,126190183.528178,20013235.7457558,1307356293.99059
1,"TS",28,"sequential",3,0.868464328255504,9,5,425376384.855973,15507167.5314477,3749811853.3252
1,"TS",29,"sequential",1,0.857958987401798,3,8,194216782.817729,8468817.51168529,1234817472.61804
1,"TS",30,"sequential",3,0.82732858164236,1,3,537342610.569044,7708436.69063427,3572197983.3863
1,"TS",31,"sequential",3,0.893794708838686,6,5,415970204.813758,26003680.7553826,3859182104.08824
1,"TS",32,"sequential",3,0.947637539543212,6,8,353530512.11718,61536121.2844998,4091661986.3627
1,"TS",33,"sequential",1,0.901248957123607,5,4,235023368.291927,1949510.68748646,1297122561.54015
1,"TS",34,"sequential",1,0.845638395193964,3,9,188807514.380415,8880747.57633074,1217085060.28291
1,"TS",35,"sequential",1,0.890493276296183,3,2,201057665.680743,8839229.6487048,1281642447.90928
1,"TS",36,"sequential",1,0.85211637262255,3,6,190753150.0587,8805069.83531781,1226408489.297
1,"TS",37,"sequential",1,0.929971293266863,5,4,241562769.249924,2153031.0663174,1338461183.83433
1,"TS",38,"sequential",1,0.905034264503047,5,3,227482739.148293,10675.9719384573,1302570565.18601
1,"TS",39,"sequential",1,0.906357140094042,3,5,227815403.451323,10675.9719384611,1304474513.88035
1,"TS",40,"sequential",1,0.982497176527977,3,4,239402955.679218,4905533.7730939,1414059061.31789
1,"TS",41,"sequential",1,0.903635283838958,1,5,227274516.59503,13394.841669973,1300557082.26522
1,"TS",42,"sequential",1,0.934417138900608,5,3,234883341.267119,10675.9719384573,1344859867.1627
1,"TS",43,"sequential",1,0.903081108769402,1,3,227118700.261818,14881.3347977251,1299759485.79636
1,"TS",44,"sequential",1,0.956465377658606,1,3,240482178.939009,10675.9719384834,1376592794.79515
1,"TS",45,"sequential",3,0.813065578602254,5,3,623114439.799325,0,3510613902.00988
1,"TS",46,"sequential",1,0.973098029522225,2,5,169720534.441335,10224074.0410237,1400531338.98986
1,"TS",47,"sequential",1,0.949083614256233,1,4,232058683.923121,4420054.36832209,1365968591.81828
1,"TS",48,"sequential",1,0.896544749988243,5,1,225283885.261794,32414.1559989303,1290352031.42058
1,"TS",49,"sequential",1,0.906593966297805,9,3,156785603.387915,9678663.48011355,1304815365.99412
1,"TS",50,"sequential",1,0.955392683809623,5,3,240212427.985809,10675.9719384499,1375048920.173
1,"TS",51,"sequential",1,0.909153256006539,5,5,228590682.299116,363066.846351039,1308498823.70741
1,"TS",52,"sequential",1,0.99566356651485,6,3,167935751.923366,11031886.096744,1433008788.1065
1,"TS",53,"sequential",3,0.893270180560648,1,5,618687649.906399,0,3856917322.11574
1,"TS",54,"sequential",1,0.970677408156916,7,5,214872629.656892,4733248.77639039,1397047459.68984
1,"TS",55,"sequential",1,0.967258699936792,7,3,214346981.721567,4683576.95695683,1392127083.88403
1,"TS",56,"sequential",1,0.997377610392869,3,7,242595941.991692,5121187.00887745,1435475725.75794
1,"TS",57,"sequential",1,0.928065866883844,5,5,233159023.494549,849232.19655,1335718798.91257
1,"TS",58,"sequential",1,0.914598697517067,4,9,179512027.651116,13694353.8931688,1316336175.40144
1,"TS",59,"sequential",1,0.987338174087927,8,3,173774010.358796,10211954.9952716,1421026467.05605
1,"TS",60,"sequential",1,0.95501445280388,3,3,240117162.959203,10675.9719384611,1374504551.19798
1,"TS",61,"sequential",1,0.86747421445325,1,1,218038668.013246,10675.9719384648,1248512263.15184
1,"TS",62,"sequential",1,0.993526342418045,2,3,171992025.413781,10566548.6983948,1429932788.32517
1,"TS",63,"sequential",1,0.823659547697753,5,4,219873813.5369,439480.981907237,1185452004.02399
1,"TS",64,"sequential",1,0.818683882988989,8,5,147474012.565783,8112643.37296944,1178290778.5919
1,"TS",65,"sequential",1,0.891723447246477,5,5,224294238.688566,10675.9719384611,1283412971.44949
1,"TS",66,"sequential",1,0.846663390100002,1,3,212912117.490858,0,1218560284.20143
1,"TS",67,"sequential",1,0.82252838164568,7,2,171692164.672102,10636999.7875928,1183823973.28354
1,"TS",68,"sequential",1,0.866960760625079,7,1,198863691.020929,3226306.89754546,1247773274.72965
1,"TS",69,"sequential",1,0.837255128659308,2,9,130260830.027771,16723084.0343857,1205019443.92291
1,"TS",70,"sequential",1,0.894452696293592,1,5,224822139.987567,10675.9719384611,1287341043.14055
1,"TS",71,"sequential",1,0.865980380307883,1,5,217663012.661985,10675.9719384685,1246362262.35812
1,"TS",72,"sequential",1,0.992637851601467,1,5,249566818.829319,10675.9719384648,1428654027.91741
1,"TS",73,"sequential",1,0.876668370794505,5,7,215736958.247936,3367352.76294829,1261744952.66599
1,"TS",74,"sequential",1,0.995586156984791,1,3,250308230.918361,10675.9719384722,1432897376.44036
1,"TS",75,"sequential",1,0.94490988086909,5,5,237235201.505233,1282222.43840605,1359961546.04084
1,"TS",76,"sequential",1,0.925693243555725,1,3,232689538.173038,10675.9719384722,1332304000.78758
1,"TS",77,"sequential",1,0.829253509361297,5,5,209734535.5704,0,1193503113.34825
1,"TS",78,"sequential",1,0.903082053270191,3,3,227118965.825279,14878.8013132438,1299760845.16912
1,"TS",79,"sequential",1,0.894331491738558,3,5,224791660.606816,10675.9719384536,1287166599.48472
1,"TS",80,"sequential",1,0.970319596445188,3,3,243966107.486811,10675.9719384424,1396532479.18374
1,"TS",81,"sequential",1,0.810763696534559,3,5,203484659.962172,60941.1534038708,1166891650.23736
1,"TS",82,"sequential",1,0.95933995838277,3,5,241205051.444645,10675.9719384648,1380730035.1024
1,"TS",83,"sequential",1,0.892707287240773,5,5,224556568.461835,10675.9719384499,1284828963.16128
1,"TS",84,"sequential",1,0.984413707768545,3,1,247501688.907099,10675.9719384611,1416817428.90588
1,"TS",85,"sequential",1,0.937503118114546,3,5,235659374.27533,10675.9719384536,1349301362.74636
1,"TS",86,"sequential",1,0.862373731750995,3,5,216756046.627826,10675.9719384648,1241171393.42262
1,"TS",87,"sequential",1,0.870265316171572,5,5,218742275.737752,10675.9719384648,1252529356.29993
1,"TS",88,"sequential",1,0.977166276052594,1,5,245687846.035144,10675.971938476,1406386562.8087
1,"TS",89,"sequential",1,0.932226229272783,3,3,234332391.934239,10675.971938476,1341706600.48085
1,"TS",90,"sequential",1,0.888558650715277,3,1,223342961.244079,10675.9719384797,1278858038.04196
1,"TS",91,"sequential",1,0.91382218003273,8,1,162818196.024896,9225975.78088422,1315218572.61211
1,"TS",92,"sequential",1,0.990352677786723,1,5,248992164.825906,10675.9719384685,1425365091.50454
1,"TS",93,"sequential",1,0.935549085121602,1,3,235167992.449163,10675.9719384797,1346489020.76127
1,"TS",94,"sequential",3,0.938875498250127,3,1,607409714.964067,8916014.64519875,4053829682.56949
