"method","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"TS","final_hypervolume",10,0.591677352127146,0.027737023093272,0.00877121684874284,0.571835481106306,0.611519223147985
"TS","final_IGD_plus",10,0.0651438157050226,0.0125978964588471,0.00398380465369266,0.056131823472483,0.0741558079375623
"TS","final_pareto_size",10,27.4,13.0741475184172,4.13440846232364,18.0473182830211,36.7526817169789
"TS","mean_nearest_neighbor",10,0.0453489252843954,0.032582958604615,0.0103036362097565,0.0220404808296278,0.0686573697391631
"TS","spacing_sd",10,0.0918867418588001,0.0485670342298744,0.0153582447365765,0.0571439785199458,0.126629505197654
"TS","objective_extent",10,2.06618599689629,0.289852663338545,0.0916594602015788,1.85883789246307,2.2735341013295
"TS","best_f1_retained_integral_m3yr",10,734127524.538656,25631918.9119235,8105524.45624232,715791554.331731,752463494.74558
"TS","best_f2_unretained_final_m3",10,0,0,0,0,0
"TS","best_f3_total_cost_eur",10,1156074906.72273,4797531.97834198,1517112.81990542,1152642959.09041,1159506854.35505
"SCAL","final_hypervolume",10,0.616242958388377,0.0421842456150857,0.0133398297519641,0.586066166964463,0.646419749812291
"SCAL","final_IGD_plus",10,0.0503073846505979,0.0261076355367246,0.00825595926176024,0.0316311072708368,0.068983662030359
"SCAL","final_pareto_size",10,35.5,10.7522607441929,3.40016339476666,27.8082960218443,43.1917039781557
"SCAL","mean_nearest_neighbor",10,0.0234433064858196,0.00851823297818934,0.00269370178510377,0.0173497296982048,0.0295368832734344
"SCAL","spacing_sd",10,0.0581814446487543,0.0302307790364504,0.00955981171964536,0.0365556480921564,0.0798072412053523
"SCAL","objective_extent",10,2.08157781588816,0.217814671398574,0.0688790469420627,1.92576258648146,2.23739304529486
"SCAL","best_f1_retained_integral_m3yr",10,782278746.835269,38822744.009413,12276829.6087403,754506628.799404,810050864.871134
"SCAL","best_f2_unretained_final_m3",10,0,0,0,0,0
"SCAL","best_f3_total_cost_eur",10,1155670050.33566,2038649.66335251,644677.628732942,1154211688.22013,1157128412.45119
"EHVI","final_hypervolume",10,0.607476532233719,0.0374359497528784,0.0118382867590713,0.580696467046426,0.634256597421011
"EHVI","final_IGD_plus",10,0.0577140293947398,0.0199125550215197,0.00629690279014254,0.0434694456445749,0.0719586131449048
"EHVI","final_pareto_size",10,25.4,10.7310556589534,3.39345775803318,17.7234652260121,33.0765347739879
"EHVI","mean_nearest_neighbor",10,0.0337352855681754,0.022633569204901,0.00715736302665333,0.0175442055306845,0.0499263656056663
"EHVI","spacing_sd",10,0.04993339861796,0.0323018843628536,0.0102147527301994,0.0268260225631268,0.0730407746727931
"EHVI","objective_extent",10,2.01289234508406,0.220439577664048,0.0697091151863971,1.85519937085283,2.17058531931529
"EHVI","best_f1_retained_integral_m3yr",10,766204719.755399,40451415.6433549,12791860.8011167,737267520.218635,795141919.292162
"EHVI","best_f2_unretained_final_m3",10,0,0,0,0,0
"EHVI","best_f3_total_cost_eur",10,1155563390.56299,7322323.68190504,2315522.05998102,1150325315.74939,1160801465.3766
"EPI","final_hypervolume",10,0.606786694102474,0.0324513667976744,0.0102620232266216,0.583572384755571,0.630001003449378
"EPI","final_IGD_plus",10,0.0622534732361227,0.0140517268029525,0.0044435461755766,0.0522014734268175,0.0723054730454279
"EPI","final_pareto_size",10,14.9,3.84274207652123,1.21518174223721,12.1510679176965,17.6489320823035
"EPI","mean_nearest_neighbor",10,0.0688801906932714,0.0364778379733738,0.0115353052114442,0.0427855173841395,0.0949748640024033
"EPI","spacing_sd",10,0.0775266639052901,0.0375977641748939,0.0118894569722546,0.0506308436537233,0.104422484156857
"EPI","objective_extent",10,2.10385210247518,0.150701487331574,0.0476559946742786,1.99604675277249,2.21165745217787
"EPI","best_f1_retained_integral_m3yr",10,747803891.175999,33725705.8920057,10665004.6315699,723677974.557417,771929807.794581
"EPI","best_f2_unretained_final_m3",10,0,0,0,0,0
"EPI","best_f3_total_cost_eur",10,1154889628.26791,4253912.81876346,1345205.34750796,1151846562.35561,1157932694.18021
