"seed","method","final_hypervolume","final_IGD_plus","final_pareto_size","mean_nearest_neighbor","spacing_sd","objective_extent","best_f1_retained_integral_m3yr","best_f2_unretained_final_m3","best_f3_total_cost_eur","sensitivity_family","parameter","parameter_value"
1,"SCAL",0.593252817289352,0.115855118857506,14,0.038968576484362,0.0520244751855144,1.90360138346734,630084327.788289,0,1166627192.48682,"SCAL_UCB_kappa","ucb_k",0.5
2,"SCAL",0.600551003923566,0.0556158919429788,32,0.0115676751103329,0.0126950383814972,1.81052424374783,778614033.262946,0,1153699464.30795,"SCAL_UCB_kappa","ucb_k",0.5
3,"SCAL",0.601669055948438,0.0560004071503135,30,0.0297788151783841,0.0842248296964488,2.19375934840991,776662850.044693,0,1156688128.86301,"SCAL_UCB_kappa","ucb_k",0.5
4,"SCAL",0.630302612735213,0.0350073637179315,38,0.0119715508500053,0.0208555737464818,1.86596539375326,828240551.781275,0,1152558443.08406,"SCAL_UCB_kappa","ucb_k",0.5
5,"SCAL",0.604624791761874,0.0556038855913308,31,0.019089380469572,0.0321693433816583,1.972872496025,781884977.477345,0,1160904457.74958,"SCAL_UCB_kappa","ucb_k",0.5
1,"SCAL",0.602884179695663,0.05912183442507,33,0.0118235171541668,0.019838301601902,1.9187437301168,784113496.524835,0,1154950173.50286,"SCAL_UCB_kappa","ucb_k",1
2,"SCAL",0.600551003923566,0.0556158919429788,32,0.0115676751103329,0.0126950383814972,1.81052424374783,778614033.262946,0,1153699464.30795,"SCAL_UCB_kappa","ucb_k",1
3,"SCAL",0.604955846386078,0.0550959034037008,24,0.0161383165773243,0.0130244265455559,1.81401432870488,784381043.992159,0,1178707710.54262,"SCAL_UCB_kappa","ucb_k",1
4,"SCAL",0.626038341530621,0.0383518860975054,30,0.0181843599747008,0.0299381950242447,2.01208524366565,828240551.781275,0,1151757571.80224,"SCAL_UCB_kappa","ucb_k",1
5,"SCAL",0.597249884843905,0.0613164874505984,30,0.0337249235190435,0.0935477431661635,2.22037293218304,781884977.477345,0,1168487488.04441,"SCAL_UCB_kappa","ucb_k",1
